"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CNTR","CRB","MOB","SP","WPOT","SU","SC","MAA","MAEN","MAENRC","MAFG","MAFR","MAG","MALCB","MASB","MASG"
"51","AR_PM_PE_MT_20181025_Q01.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,6,87,0,0,0,4,2,1,0,0,0,0,0,0,0
"52","AR_PM_PE_MT_20181025_Q02.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,2,88,0,0,0,7,0,3,0,0,0,0,0,0,0
"53","AR_PM_PE_MT_20181025_Q03.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,2,94,0,0,0,3,0,1,0,0,0,0,0,0,0
"54","AR_PM_PE_MT_20181025_Q04.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,3,86,0,0,0,4,0,7,0,0,0,0,0,0,0
"55","AR_PM_PE_MT_20181025_Q05.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,7,79,0,0,0,5,0,4,0,5,0,0,0,0,0
"56","AR_PM_PE_MT_20181025_Q06.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,1,83,0,0,0,2,3,6,0,5,0,0,0,0,0
"57","AR_PM_PE_MT_20181025_Q07.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,0,90,0,0,0,1,5,4,0,0,0,0,0,0,0
"58","AR_PM_PE_MT_20181025_Q08.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,0,85,0,0,0,4,0,9,0,2,0,0,0,0,0
"59","AR_PM_PE_MT_20181025_Q09.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,2,94,0,0,0,1,0,3,0,0,0,0,0,0,0
"60","AR_PM_PE_MT_20181025_Q10.jpg","2018-10-25","ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA ESTE","MIDTIDE",60,-42.78511,-64.95264,NA,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"Intertidal Argentina","Photoquadrat Human","(Imported points; not specified)",0,0,93,0,0,0,1,6,0,0,0,0,0,0,0,0
