Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,CRB,MOB,CNTR,SP,WPOT,SU,SC,MAFG,MAEN,MAENRC,MAFR,MAA,MAG,MASB,MASG,MALCB
AR_PM_PE_MT_20181125_Q03_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8570,Visual,X: 0 - 100% / Y: 0 - 100%,1,96,0,0,0,0,2,0,1,0,0,0,0,0,0,0
AR_PM_PE_MT_20181125_Q04_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8571,Visual,X: 0 - 100% / Y: 0 - 100%,2,89,0,0,0,0,2,2,5,0,0,0,0,0,0,0
AR_PM_PE_MT_20181125_Q05_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8572,Visual,X: 0 - 100% / Y: 0 - 100%,6,83,0,0,0,0,2,3,5,0,0,1,0,0,0,0
AR_PM_PE_MT_20181125_Q06_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8576,Visual,X: 0 - 100% / Y: 0 - 100%,2,85,0,0,0,0,3,3,5,0,0,2,0,0,0,0
AR_PM_PE_MT_20181125_Q07_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8577,Visual,X: 0 - 100% / Y: 0 - 100%,1,92,0,0,0,0,2,1,2,0,0,2,0,0,0,0
AR_PM_PE_MT_20181125_Q08_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8578,Visual,X: 0 - 100% / Y: 0 - 100%,2,86,0,0,0,0,4,1,7,0,0,0,0,0,0,0
AR_PM_PE_MT_20181125_Q09_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8579,Visual,X: 0 - 100% / Y: 0 - 100%,1,96,0,0,0,0,1,0,2,0,0,0,0,0,0,0
AR_PM_PE_MT_20181125_Q10_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8580,Visual,X: 0 - 100% / Y: 0 - 100%,1,94,0,0,0,0,1,1,0,0,0,2,0,0,1,0
AR_PM_PE_LT_20181125_Q01_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8529,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,1,0,0,0,6,6,0,0,14,60,1,0,10,0
AR_PM_PE_LT_20181125_Q02_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8530,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,1,0,0,0,1,10,0,0,12,58,0,1,15,0
AR_PM_PE_LT_20181125_Q03_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8537,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,0,0,1,3,0,0,79,2,1,0,9,4
AR_PM_PE_LT_20181125_Q04_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8543,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,0,0,3,3,0,0,58,9,1,2,15,8
AR_PM_PE_LT_20181125_Q05_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8544,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,1,0,1,0,2,3,0,0,54,9,2,0,23,4
AR_PM_PE_LT_20181125_Q06_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8545,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,1,0,0,0,5,5,0,0,51,18,1,1,17,1
AR_PM_PE_LT_20181125_Q07_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8549,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,1,0,1,0,2,10,0,0,10,58,2,1,13,0
AR_PM_PE_LT_20181125_Q08_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8550,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,1,0,3,6,0,0,20,7,1,0,61,0
AR_PM_PE_LT_20181125_Q09_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8551,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,1,0,1,0,1,52,1,0,13,13,2,0,14,1
AR_PM_PE_LT_20181125_Q10_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8554,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,2,0,1,0,4,24,1,0,8,50,0,1,7,1
AR_PM_PL_HT_20181126_Q01_visual,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN2649,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,0,0,0,0,70,28,0,0,0,0,0,0,0,0
AR_PM_PL_HT_20181126_Q02_visual,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN2650,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,0,0,75,24,0,0,0,0,0,0,0,0
AR_PM_PL_HT_20181126_Q03_visual,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN2651,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,0,0,90,9,0,0,0,0,0,0,0,0
AR_PM_PL_HT_20181126_Q04_visual,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN2652,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,0,0,0,0,84,14,0,0,0,0,0,0,0,0
AR_PM_PL_HT_20181126_Q05_visual,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN2653,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,0,0,0,0,84,14,0,0,0,0,0,0,0,0
AR_PM_PL_HT_20181126_Q06_visual,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN2654,Visual,X: 0 - 100% / Y: 0 - 100%,0,3,0,0,0,0,73,24,0,0,0,0,0,0,0,0
