Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,CRB,MOB,CNTR,WPOT,SC,MAF,MAEN,MAA,MAG,MAS,MALCB
AR_PM_PE_LT_20181025_Q05.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,1,1,2,57,0,9,2,23,4
AR_PM_PE_LT_20181025_Q06.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,1,0,5,56,0,18,1,18,1
AR_PM_PE_LT_20181025_Q07.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,1,1,2,20,0,58,2,14,0
AR_PM_PE_LT_20181025_Q08.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,1,3,26,0,7,1,61,0
AR_PM_PE_LT_20181025_Q09.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,1,1,1,65,1,13,2,14,1
AR_PM_PE_LT_20181025_Q10.jpg,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,LOWTIDE,60,-42.77986,-65.00171,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,2,1,4,32,1,50,0,8,1
AR_PM_PL_HT_20181026_Q01.jpg,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,60,-42.78511,-64.95264,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,0,0,70,28,0,0,0,0,0
AR_PM_PL_HT_20181026_Q02.jpg,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,60,-42.78511,-64.95264,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,75,24,0,0,0,0,0
AR_PM_PL_HT_20181026_Q03.jpg,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,60,-42.78511,-64.95264,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,90,9,0,0,0,0,0
AR_PM_PL_HT_20181026_Q04.jpg,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,60,-42.78511,-64.95264,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,0,0,84,14,0,0,0,0,0
AR_PM_PL_HT_20181026_Q05.jpg,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,60,-42.78511,-64.95264,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,2,0,0,84,14,0,0,0,0,0
AR_PM_PL_HT_20181026_Q06.jpg,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,60,-42.78511,-64.95264,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,3,0,0,73,24,0,0,0,0,0
AR_PM_PL_HT_20181026_Q07.jpg,26/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA LOMA,HIGHTIDE,60,-42.78511,-64.95264,0,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,1,0,0,77,22,0,0,0,0,0
