Name,Annotation status,Annotation area,CNTR,CRB,MOB,SP,WPOT,SU,SC,MAA,MAEN,MAENRC,MAFG,MAFR,MAG,MALCB,MASB,MASG
DSCN2698.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,8.000,0.000,0.000,0.000,3.000,24.000,0.000,0.000,0.000,5.000,4.000,5.000,0.000,51.000
DSCN2699.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,10.000,0.000,0.000,0.000,3.000,24.000,0.000,0.000,0.000,8.000,1.000,0.000,0.000,54.000
DSCN2700.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,7.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,3.000,1.000,1.000,1.000,47.000
DSCN2701.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,4.000,0.000,0.000,0.000,0.000,30.000,0.000,0.000,0.000,10.000,1.000,2.000,2.000,51.000
DSCN8531.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,7.000,0.000,0.000,0.000,3.000,24.000,0.000,0.000,6.000,24.000,0.000,0.000,0.000,36.000
DSCN8532.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,7.000,0.000,0.000,0.000,3.000,10.000,0.000,0.000,8.000,39.000,0.000,2.000,0.000,31.000
DSCN8533.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,3.000,0.000,0.000,0.000,2.000,28.000,1.000,0.000,8.000,33.000,0.000,0.000,0.000,25.000
DSCN8534.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,1.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,8.000,45.000,0.000,0.000,0.000,36.000
DSCN8535.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,1.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,6.000,67.000,0.000,0.000,0.000,24.000
DSCN8536.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,3.000,0.000,0.000,0.000,1.000,42.000,0.000,0.000,4.000,38.000,0.000,0.000,0.000,12.000
