"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments"
"73","USMEGS201807_94_low_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"74","USMEGS201807_98_low_(3).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"75","USMEGS201807_99_low_(2).JPG",2018-07-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"76","USMEGS201808_107_low_(3).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"77","USMEGS201808_133_low_(4).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","LOWTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"78","USMEGS201808_134_high_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"79","USMEGS201808_135_high_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"80","USMEGS201808_159_high_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"81","USMEGS201808_160_high_(2).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
"82","USMEGS201808_165_high_(3).JPG",2018-08-13,"Rocky shore","USA","MAINE","MIDCOAST","HIGHTIDE",25,44.371417,-68.092583,NA,"NIKON D5100","Helmuth","INTERTIDAL",9,"25 X 25",NA,"random"
