Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
CO_GI_LM_LT_20181014_Q03,human,CO,LM,LT,0,0,0,0,0,0,0,0,74,0,0,0,0,0,11,15,0,0,0,0
CO_GI_LM_LT_20181014_Q04,human,CO,LM,LT,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,2,0,0,0,0
CO_GI_LM_LT_20181014_Q05,human,CO,LM,LT,0,0,0,0,0,1,0,0,68,0,0,0,0,0,31,0,0,0,0,0
CO_GI_LM_LT_20181014_Q06,human,CO,LM,LT,0,0,0,0,0,0,0,0,80,0,0,0,0,0,20,0,0,0,0,0
CO_GI_LM_LT_20181014_Q07,human,CO,LM,LT,0,0,0,0,0,0,0,0,73,0,1,0,0,0,24,2,0,0,0,0
CO_GI_LM_LT_20181014_Q08,human,CO,LM,LT,0,0,0,0,0,0,0,0,70,0,0,0,0,0,30,0,0,0,0,0
CO_GI_LM_LT_20181014_Q09,human,CO,LM,LT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_LT_20181014_Q10,human,CO,LM,LT,0,0,0,0,0,0,0,0,64,0,0,0,0,0,34,2,0,0,0,0
CO_GI_LM_MT_20181014_Q01,human,CO,LM,MT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q02,human,CO,LM,MT,0,0,0,0,0,1,0,0,98,0,0,0,0,0,1,0,0,0,0,0
CO_GI_LM_MT_20181014_Q03,human,CO,LM,MT,0,0,0,0,0,0,0,0,93,0,0,0,0,0,7,0,0,0,0,0
CO_GI_LM_MT_20181014_Q04,human,CO,LM,MT,0,0,0,0,0,0,0,0,97,0,0,0,0,0,3,0,0,0,0,0
CO_GI_LM_MT_20181014_Q05,human,CO,LM,MT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q06,human,CO,LM,MT,0,0,0,0,0,0,0,0,98,0,0,0,0,0,2,0,0,0,0,0
CO_GI_LM_MT_20181014_Q07,human,CO,LM,MT,0,0,0,0,0,0,0,0,86,0,0,0,0,0,13,1,0,0,0,0
CO_GI_LM_MT_20181014_Q08,human,CO,LM,MT,0,0,0,0,0,0,0,0,84,0,0,0,0,0,16,0,0,0,0,0
CO_GI_LM_MT_20181014_Q09,human,CO,LM,MT,0,0,0,0,0,0,0,0,77,0,0,0,0,0,23,0,0,0,0,0
CO_GI_LM_MT_20181014_Q10,human,CO,LM,MT,0,0,0,0,0,0,0,0,54,0,0,0,0,0,40,6,0,0,0,0
CO_GI_LV_HT_20181010_Q01,human,CO,LV,HT,0,0,0,0,0,0,0,0,98,0,0,0,0,0,2,0,0,0,0,0
CO_GI_LV_HT_20181010_Q02,human,CO,LV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q03,human,CO,LV,HT,0,0,0,0,0,4,0,0,96,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q04,human,CO,LV,HT,0,0,0,0,0,3,0,0,88,0,9,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q05,human,CO,LV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q06,human,CO,LV,HT,0,0,0,0,0,3,0,0,97,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q07,human,CO,LV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q08,human,CO,LV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q09,human,CO,LV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q10,human,CO,LV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_LT_20181011_Q01,human,CO,LV,LT,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,77,0,0,0,0
CO_GI_LV_LT_20181011_Q02,human,CO,LV,LT,0,0,0,0,0,0,0,0,48,0,0,0,0,0,52,0,0,0,0,0
CO_GI_LV_LT_20181011_Q03,human,CO,LV,LT,0,0,0,0,0,0,0,0,19,0,0,0,0,0,13,68,0,0,0,0
CO_GI_LV_LT_20181011_Q04,human,CO,LV,LT,0,0,0,0,0,0,0,0,21,0,0,3,0,0,3,73,0,0,0,0
CO_GI_LV_LT_20181011_Q05,human,CO,LV,LT,0,0,0,0,0,0,0,0,20,0,0,0,0,0,24,56,0,0,0,0
CO_GI_LV_LT_20181011_Q06,human,CO,LV,LT,0,0,0,0,0,0,0,0,2,0,1,26,0,0,20,50,1,0,0,0
CO_GI_LV_LT_20181011_Q07,human,CO,LV,LT,0,0,0,0,0,0,0,0,3,0,0,8,0,0,74,15,0,0,0,0
CO_GI_LV_LT_20181011_Q08,human,CO,LV,LT,0,0,0,0,0,0,0,0,18,0,0,3,0,0,5,74,0,0,0,0
CO_GI_LV_LT_20181011_Q09,human,CO,LV,LT,0,0,0,0,0,0,0,0,39,0,0,2,0,0,3,53,3,0,0,0
CO_GI_LV_LT_20181011_Q10,human,CO,LV,LT,0,0,0,0,0,0,0,0,0,0,0,35,0,0,65,0,0,0,0,0
CO_GI_LV_MT_20181010_Q01,human,CO,LV,MT,0,0,0,1,0,1,0,0,91,0,0,0,0,0,7,0,0,0,0,0
CO_GI_LV_MT_20181010_Q02,human,CO,LV,MT,0,0,0,4,0,0,0,0,60,0,0,0,0,0,36,0,0,0,0,0
CO_GI_LV_MT_20181010_Q03,human,CO,LV,MT,0,0,0,0,0,0,0,0,23,0,0,0,0,0,55,22,0,0,0,0
CO_GI_LV_MT_20181010_Q04,human,CO,LV,MT,0,0,0,0,0,0,0,0,61,0,0,0,0,0,39,0,0,0,0,0
CO_GI_LV_MT_20181010_Q05,human,CO,LV,MT,0,0,0,0,0,0,0,0,53,0,0,2,0,0,19,26,0,0,0,0
CO_GI_LV_MT_20181010_Q06,human,CO,LV,MT,0,0,0,0,0,0,0,0,68,0,0,0,0,0,32,0,0,0,0,0
CO_GI_LV_MT_20181010_Q07,human,CO,LV,MT,0,0,0,0,0,0,0,0,79,0,0,0,0,0,21,0,0,0,0,0
CO_GI_LV_MT_20181010_Q08,human,CO,LV,MT,0,0,0,0,0,0,0,0,76,0,0,0,0,0,23,1,0,0,0,0
CO_GI_LV_MT_20181010_Q09,human,CO,LV,MT,0,0,0,0,0,0,0,0,92,0,0,0,0,0,8,0,0,0,0,0
CO_GI_LV_MT_20181010_Q10,human,CO,LV,MT,0,0,0,0,0,6,0,0,76,0,0,0,0,0,18,0,0,0,0,0
