Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
CO_GI_LV_LT_20181011_Q10,robot,CO,LV,LT,0,0,0,0,0,0,0,0,3,0,19,0,0,69,9,0,0,0,0
CO_GI_LV_MT_20181010_Q01,robot,CO,LV,MT,0,0,0,0,0,0,0,0,94,0,0,0,0,6,0,0,0,0,0
CO_GI_LV_MT_20181010_Q02,robot,CO,LV,MT,0,0,0,2,0,0,0,0,76,0,0,0,0,22,0,0,0,0,0
CO_GI_LV_MT_20181010_Q03,robot,CO,LV,MT,0,0,0,0,0,1,0,0,34,0,0,0,0,55,10,0,0,0,0
CO_GI_LV_MT_20181010_Q04,robot,CO,LV,MT,0,0,0,0,0,0,0,0,63,0,0,0,0,37,0,0,0,0,0
CO_GI_LV_MT_20181010_Q05,robot,CO,LV,MT,0,0,0,0,0,0,0,0,55,0,0,0,0,13,32,0,0,0,0
CO_GI_LV_MT_20181010_Q06,robot,CO,LV,MT,0,0,0,0,0,0,0,0,68,0,0,0,0,32,0,0,0,0,0
CO_GI_LV_MT_20181010_Q07,robot,CO,LV,MT,0,0,0,0,0,0,0,0,44,0,0,0,0,56,0,0,0,0,0
CO_GI_LV_MT_20181010_Q08,robot,CO,LV,MT,0,0,0,0,0,0,0,0,51,0,0,0,0,49,0,0,0,0,0
CO_GI_LV_MT_20181010_Q09,robot,CO,LV,MT,0,0,0,0,0,0,0,0,32,0,0,0,0,68,0,0,0,0,0
CO_GI_LV_MT_20181010_Q10,robot,CO,LV,MT,0,0,0,0,0,0,0,0,96,0,0,0,0,4,0,0,0,0,0
CO_GI_PV_HT_20181012_Q01,robot,CO,PV,HT,0,0,0,0,0,0,0,0,98,0,0,0,0,2,0,0,0,0,0
CO_GI_PV_HT_20181012_Q02,robot,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q03,robot,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q04,robot,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q05,robot,CO,PV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q06,robot,CO,PV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0
CO_GI_PV_HT_20181012_Q07,robot,CO,PV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0
